date,YearWeek,Date2,keyword,search_demand,Brand
2012-10-28,201243,2012-10-22,/m/0k8z,9,Apple
2012-11-04,201244,2012-10-29,/m/0k8z,10,Apple
2012-11-11,201245,2012-11-05,/m/0k8z,8,Apple
2012-11-18,201246,2012-11-12,/m/0k8z,8,Apple
2012-11-25,201247,2012-11-19,/m/0k8z,7,Apple
2012-12-02,201248,2012-11-26,/m/0k8z,8,Apple
2012-12-09,201249,2012-12-03,/m/0k8z,7,Apple
2012-12-16,201250,2012-12-10,/m/0k8z,8,Apple
2012-12-23,201251,2012-12-17,/m/0k8z,7,Apple
2012-12-30,201252,2012-12-24,/m/0k8z,7,Apple
2013-01-06,201301,2012-12-31,/m/0k8z,7,Apple
2013-01-13,201302,2013-01-07,/m/0k8z,9,Apple
2013-01-20,201303,2013-01-14,/m/0k8z,15,Apple
2013-01-27,201304,2013-01-21,/m/0k8z,9,Apple
2013-02-03,201305,2013-01-28,/m/0k8z,7,Apple
2013-02-10,201306,2013-02-04,/m/0k8z,7,Apple
2013-02-17,201307,2013-02-11,/m/0k8z,6,Apple
2013-02-24,201308,2013-02-18,/m/0k8z,7,Apple
2013-03-03,201309,2013-02-25,/m/0k8z,7,Apple
2013-03-10,201310,2013-03-04,/m/0k8z,6,Apple
2013-03-17,201311,2013-03-11,/m/0k8z,6,Apple
2013-03-24,201312,2013-03-18,/m/0k8z,6,Apple
2013-03-31,201313,2013-03-25,/m/0k8z,6,Apple
2013-04-07,201314,2013-04-01,/m/0k8z,6,Apple
2013-04-14,201315,2013-04-08,/m/0k8z,7,Apple
2013-04-21,201316,2013-04-15,/m/0k8z,10,Apple
2013-04-28,201317,2013-04-22,/m/0k8z,7,Apple
2013-05-05,201318,2013-04-29,/m/0k8z,6,Apple
2013-05-12,201319,2013-05-06,/m/0k8z,6,Apple
2013-05-19,201320,2013-05-13,/m/0k8z,6,Apple
2013-05-26,201321,2013-05-20,/m/0k8z,5,Apple
2013-06-02,201322,2013-05-27,/m/0k8z,6,Apple
2013-06-09,201323,2013-06-03,/m/0k8z,16,Apple
2013-06-16,201324,2013-06-10,/m/0k8z,5,Apple
2013-06-23,201325,2013-06-17,/m/0k8z,6,Apple
2013-06-30,201326,2013-06-24,/m/0k8z,5,Apple
2013-07-07,201327,2013-07-01,/m/0k8z,5,Apple
2013-07-14,201328,2013-07-08,/m/0k8z,5,Apple
2013-07-21,201329,2013-07-15,/m/0k8z,7,Apple
2013-07-28,201330,2013-07-22,/m/0k8z,5,Apple
2013-08-04,201331,2013-07-29,/m/0k8z,6,Apple
2013-08-11,201332,2013-08-05,/m/0k8z,8,Apple
2013-08-18,201333,2013-08-12,/m/0k8z,7,Apple
2013-08-25,201334,2013-08-19,/m/0k8z,6,Apple
2013-09-01,201335,2013-08-26,/m/0k8z,7,Apple
2013-09-08,201336,2013-09-02,/m/0k8z,39,Apple
2013-09-15,201337,2013-09-09,/m/0k8z,10,Apple
2013-09-22,201338,2013-09-16,/m/0k8z,9,Apple
2013-09-29,201339,2013-09-23,/m/0k8z,7,Apple
2013-10-06,201340,2013-09-30,/m/0k8z,7,Apple
2013-10-13,201341,2013-10-07,/m/0k8z,7,Apple
2013-10-20,201342,2013-10-14,/m/0k8z,15,Apple
2013-10-27,201343,2013-10-21,/m/0k8z,8,Apple
2013-11-03,201344,2013-10-28,/m/0k8z,6,Apple
2013-11-10,201345,2013-11-04,/m/0k8z,6,Apple
2013-11-17,201346,2013-11-11,/m/0k8z,7,Apple
2013-11-24,201347,2013-11-18,/m/0k8z,6,Apple
2013-12-01,201348,2013-11-25,/m/0k8z,7,Apple
2013-12-08,201349,2013-12-02,/m/0k8z,6,Apple
2013-12-15,201350,2013-12-09,/m/0k8z,5,Apple
2013-12-22,201351,2013-12-16,/m/0k8z,6,Apple
2013-12-29,201352,2013-12-23,/m/0k8z,5,Apple
2014-01-05,201401,2013-12-30,/m/0k8z,6,Apple
2014-01-12,201402,2014-01-06,/m/0k8z,6,Apple
2014-01-19,201403,2014-01-13,/m/0k8z,6,Apple
2014-01-26,201404,2014-01-20,/m/0k8z,8,Apple
2014-02-02,201405,2014-01-27,/m/0k8z,6,Apple
2014-02-09,201406,2014-02-03,/m/0k8z,5,Apple
2014-02-16,201407,2014-02-10,/m/0k8z,5,Apple
2014-02-23,201408,2014-02-17,/m/0k8z,5,Apple
2014-03-02,201409,2014-02-24,/m/0k8z,5,Apple
2014-03-09,201410,2014-03-03,/m/0k8z,4,Apple
2014-03-16,201411,2014-03-10,/m/0k8z,5,Apple
2014-03-23,201412,2014-03-17,/m/0k8z,5,Apple
2014-03-30,201413,2014-03-24,/m/0k8z,5,Apple
2014-04-06,201414,2014-03-31,/m/0k8z,5,Apple
2014-04-13,201415,2014-04-07,/m/0k8z,4,Apple
2014-04-20,201416,2014-04-14,/m/0k8z,9,Apple
2014-04-27,201417,2014-04-21,/m/0k8z,7,Apple
2014-05-04,201418,2014-04-28,/m/0k8z,6,Apple
2014-05-11,201419,2014-05-05,/m/0k8z,5,Apple
2014-05-18,201420,2014-05-12,/m/0k8z,5,Apple
2014-05-25,201421,2014-05-19,/m/0k8z,7,Apple
2014-06-01,201422,2014-05-26,/m/0k8z,15,Apple
2014-06-08,201423,2014-06-02,/m/0k8z,11,Apple
2014-06-15,201424,2014-06-09,/m/0k8z,6,Apple
2014-06-22,201425,2014-06-16,/m/0k8z,6,Apple
2014-06-29,201426,2014-06-23,/m/0k8z,5,Apple
2014-07-06,201427,2014-06-30,/m/0k8z,5,Apple
